jerseyNumber,playerName,minutesPlayed,fieldGoals,fieldGoalPercentage,twoPointFieldGoals,twoPointPercentage,threePointFieldGoals,threePointPercentage,freeThrows,freeThrowPercentage,offensiveRebounds,defensiveRebounds,totalRebounds,assists,turnovers,steals,blocks,personalFoulsCommitted,personalFoulsDrawn,plusMinus,points
7,Б.Батбаяр,32:15,8/16,50.0,5/10,50.0,3/6,50.0,4/5,80.0,2,5,7,6,2,3,1,2,4,12,23
11,Г.Ганбат,28:40,6/14,42.9,4/9,44.4,2/5,40.0,3/4,75.0,1,4,5,8,3,2,0,3,3,8,17
23,Д.Дорж,35:00,9/18,50.0,7/12,58.3,2/6,33.3,5/6,83.3,3,6,9,2,1,1,2,1,5,15,25
5,Н.Нарантуяа,24:30,4/10,40.0,3/7,42.9,1/3,33.3,2/2,100.0,0,3,3,4,2,1,0,4,2,5,11
14,Т.Тамир,20:00,3/8,37.5,2/5,40.0,1/3,33.3,0/0,0.0,1,2,3,1,1,0,0,2,1,-3,7
32,Э.Эрдэнэ,18:45,2/6,33.3,2/4,50.0,0/2,0.0,1/2,50.0,2,3,5,0,2,0,3,3,1,-5,5
8,О.Отгонбаяр,22:10,5/11,45.5,3/7,42.9,2/4,50.0,1/1,100.0,1,1,2,3,0,2,0,1,2,7,13
4,С.Сүхбат,18:40,2/7,28.6,1/4,25.0,1/3,33.3,0/0,0.0,0,2,2,2,3,0,0,3,0,-4,5
10,А.Амарбат,30:50,7/15,46.7,5/10,50.0,2/5,40.0,3/4,75.0,2,4,6,5,2,2,1,2,3,10,19
15,М.Мөнхбат,25:20,5/12,41.7,4/8,50.0,1/4,25.0,2/3,66.7,1,3,4,3,1,1,0,1,2,6,13
